Predicate,Count
prefLabel,484
hasPermId,459
isISOHistorical,459
decimalPlaces,459
type,459
iso4217,267
isCurrencyOf,264
isPrimaryCurrencyOf,248
iso4217Numeric,244
subunitFactor,171
isCurrencySubunitOf,171
subUnitLC,167
subUnitX,27
